"TownId","TownName","CountyId","CountyName"
"A01","松山區","A","臺北市"
"E14","大寮區","E","高雄市"
"E15","大樹區","E","高雄市"
"E16","大社區","E","高雄市"
"E17","仁武區","E","高雄市"
"E18","鳥松區","E","高雄市"
"A02","大安區","A","臺北市"
"E19","岡山區","E","高雄市"
"A11","文山區","A","臺北市"
"K02","苑裡鎮","K","苗栗縣"
"K03","通霄鎮","K","苗栗縣"
"A03","中正區","A","臺北市"
"K09","竹南鎮","K","苗栗縣"
"K12","後龍鎮","K","苗栗縣"
"N19","社頭鄉","N","彰化縣"
"A09","大同區","A","臺北市"
"T14","竹田鄉","T","屏東縣"
"U08","豐濱鄉","U","花蓮縣"
"C07","信義區","C","基隆市"
"K15","大湖鄉","K","苗栗縣"
"K16","卓蘭鎮","K","苗栗縣"
"M13","仁愛鄉","M","南投縣"
"N02","鹿港鎮","N","彰化縣"
"N07","田中鎮","N","彰化縣"
"B02","東區","B","臺中市"
"B13","沙鹿區","B","臺中市"
"W06","烏坵鄉","W","金門縣"
"W04","金寧鄉","W","金門縣"
"B04","西區","B","臺中市"
"B22","大安區","B","臺中市"
"B27","太平區","B","臺中市"
"D06","安南區","D","臺南市"
"B23","烏日區","B","臺中市"
"E10","旗津區","E","高雄市"
"E11","小港區","E","高雄市"
"E13","林園區","E","高雄市"
"E22","田寮區","E","高雄市"
"E23","阿蓮區","E","高雄市"
"E24","路竹區","E","高雄市"
"F01","新莊區","F","新北市"
"F02","林口區","F","新北市"
"F05","三重區","F","新北市"
"B14","梧棲區","B","臺中市"
"B11","大甲區","B","臺中市"
"C06","安樂區","C","基隆市"
"E04","楠梓區","E","高雄市"
"E12","鳳山區","E","高雄市"
"C04","仁愛區","C","基隆市"
"B29","和平區","B","臺中市"
"C01","中正區","C","基隆市"
"C05","中山區","C","基隆市"
"D07","安平區","D","臺南市"
"D01","東區","D","臺南市"
"D02","南區","D","臺南市"
"N05","員林市","N","彰化縣"
"Z04","東引鄉","Z","連江縣"
"E01","鹽埕區","E","高雄市"
"E06","新興區","E","高雄市"
"W05","烈嶼鄉","W","金門縣"
"W01","金湖鎮","W","金門縣"
"W02","金沙鎮","W","金門縣"
"W03","金城鎮","W","金門縣"
"Z03","莒光鄉","Z","連江縣"
"Z02","北竿鄉","Z","連江縣"
"F06","泰山區","F","新北市"
"F07","新店區","F","新北市"
"F08","石碇區","F","新北市"
"F09","深坑區","F","新北市"
"F10","坪林區","F","新北市"
"F11","烏來區","F","新北市"
"Z01","南竿鄉","Z","連江縣"
"F14","板橋區","F","新北市"
"F15","三峽區","F","新北市"
"F16","鶯歌區","F","新北市"
"F17","樹林區","F","新北市"
"F18","中和區","F","新北市"
"E07","前金區","E","高雄市"
"J10","芎林鄉","J","新竹縣"
"F19","土城區","F","新北市"
"F21","瑞芳區","F","新北市"
"F22","平溪區","F","新北市"
"F23","雙溪區","F","新北市"
"F24","貢寮區","F","新北市"
"F26","萬里區","F","新北市"
"F27","淡水區","F","新北市"
"F28","汐止區","F","新北市"
"F30","三芝區","F","新北市"
"G06","羅東鎮","G","宜蘭縣"
"G07","五結鄉","G","宜蘭縣"
"G08","冬山鄉","G","宜蘭縣"
"G09","蘇澳鎮","G","宜蘭縣"
"G10","三星鄉","G","宜蘭縣"
"G11","大同鄉","G","宜蘭縣"
"H06","大園區","H","桃園市"
"H07","龜山區","H","桃園市"
"H08","八德區","H","桃園市"
"H09","龍潭區","H","桃園市"
"J04","新埔鎮","J","新竹縣"
"J05","竹北市","J","新竹縣"
"J06","湖口鄉","J","新竹縣"
"J08","橫山鄉","J","新竹縣"
"J09","新豐鄉","J","新竹縣"
"J11","寶山鄉","J","新竹縣"
"J12","北埔鄉","J","新竹縣"
"G12","南澳鄉","G","宜蘭縣"
"H01","桃園區","H","桃園市"
"H02","大溪區","H","桃園市"
"H03","中壢區","H","桃園市"
"H05","蘆竹區","H","桃園市"
"J13","峨眉鄉","J","新竹縣"
"K01","苗栗市","K","苗栗縣"
"K04","公館鄉","K","苗栗縣"
"K05","銅鑼鄉","K","苗栗縣"
"K06","三義鄉","K","苗栗縣"
"K07","西湖鄉","K","苗栗縣"
"K08","頭屋鄉","K","苗栗縣"
"K13","三灣鄉","K","苗栗縣"
"K14","南庄鄉","K","苗栗縣"
"E08","苓雅區","E","高雄市"
"E09","前鎮區","E","高雄市"
"B07","南屯區","B","臺中市"
"N11","福興鄉","N","彰化縣"
"N14","芬園鄉","N","彰化縣"
"N15","大村鄉","N","彰化縣"
"N16","埔鹽鄉","N","彰化縣"
"N17","埔心鄉","N","彰化縣"
"N18","永靖鄉","N","彰化縣"
"N20","二水鄉","N","彰化縣"
"N22","埤頭鄉","N","彰化縣"
"N23","芳苑鄉","N","彰化縣"
"N24","大城鄉","N","彰化縣"
"N25","竹塘鄉","N","彰化縣"
"N26","溪州鄉","N","彰化縣"
"O01","東區","O","新竹市"
"O02","北區","O","新竹市"
"O03","香山區","O","新竹市"
"P01","斗六市","P","雲林縣"
"P02","斗南鎮","P","雲林縣"
"P03","虎尾鎮","P","雲林縣"
"P04","西螺鎮","P","雲林縣"
"P05","土庫鎮","P","雲林縣"
"P06","北港鎮","P","雲林縣"
"P07","古坑鄉","P","雲林縣"
